,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
417,the valley,40,AI,1562035004,78,18.22,-63.06,82.4,8.05
418,bodo,53,CI,1562035004,99,5.91,-4.68,71.45,2.51
419,kloulklubed,90,PW,1562035005,94,7.04,134.26,75.2,7.67
420,gurlan,0,UZ,1562034733,77,41.84,60.39,69.8,9.17
421,bela vista de goias,0,BR,1562035005,82,-16.97,-48.95,64.4,3.89
422,lincoln,0,GB,1562034928,87,53.23,-0.54,53.01,8.05
423,obluche,,,,,,,,
424,zeya,34,RU,1562035006,52,53.74,127.27,64.48,10.69
425,smidovich,100,RU,1562035007,80,48.6,133.81,69.54,4.47
426,praia,0,BR,1562034924,87,-20.25,-43.81,66.2,0.83
427,tidore,,,,,,,,
428,puerto el triunfo,20,SV,1562035007,83,13.27,-88.55,80.6,3.33
429,taoudenni,0,ML,1562035008,11,22.68,-3.98,92.87,2.95
430,peleduy,78,RU,1562035008,31,59.63,112.75,86.8,3.74
431,berlevag,92,NO,1562035008,76,70.86,29.09,48.07,10.49
432,margate,20,AU,1562035009,54,-43.03,147.26,53.6,26.4
433,thai nguyen,40,VN,1562035009,89,21.59,105.84,86,6.93
434,hay river,75,CA,1562034738,81,60.82,-115.79,51.8,26.4
435,iquique,90,CL,1562035010,77,-20.22,-70.14,60.8,3.36
436,piacabucu,13,BR,1562035010,88,-10.41,-36.43,73.99,7.67
437,miquelon,100,PM,1562035010,96,47.1,-56.38,52.33,25.68
438,sabha,0,LY,1562034805,36,27.03,14.43,78.47,11.23
439,faya,0,SA,1562035011,35,18.39,42.45,73.4,4.7
440,waipawa,66,NZ,1562035011,75,-39.94,176.59,57,7.9
441,muros,90,ES,1562035011,87,42.77,-9.06,64.99,11.41
442,kindersley,75,CA,1562035012,66,51.47,-109.16,53.6,20.8
443,ilulissat,75,GL,1562035012,75,69.22,-51.1,41,3.36
444,huacho,98,PE,1562035012,88,-11.11,-77.61,62.95,17.36
445,kungurtug,100,RU,1562035013,48,50.6,97.53,63.73,3.98
446,isangel,75,VU,1562034726,69,-19.55,169.27,77,9.17
447,borogontsy,0,RU,1562035013,32,62.67,131.17,71.72,11.18
448,porto novo,0,BR,1562035014,87,-23.68,-45.44,60.8,5.03
449,srednekolymsk,86,RU,1562034744,31,67.46,153.71,71.04,8.43
450,hobyo,80,SO,1562035015,68,5.35,48.53,79.12,19.55
451,kahului,20,US,1562035015,54,20.89,-156.47,84.2,16.11
452,dukat,0,AL,1562035016,61,40.25,19.57,75,1.01
453,cochrane,99,CL,1562034809,98,-47.25,-72.57,27.03,3.11
454,artyk,,,,,,,,
455,teahupoo,75,PF,1562035016,69,-17.83,-149.27,78.8,4.7
456,oriximina,100,BR,1562034932,75,-1.77,-55.87,80.02,3.74
457,black river,20,JM,1562034812,79,18.03,-77.85,84.2,4.7
458,blagoveshchenka,0,RU,1562034748,84,52.83,79.87,53.5,3.27
459,adrar,0,DZ,1562035017,11,27.87,-0.29,87.8,9.17
460,mhlume,0,SZ,1562035018,41,-26.03,31.81,60.01,1.01
461,yulara,0,AU,1562034749,21,-25.24,130.99,71.6,4.7
462,port-de-paix,,,,,,,,
463,republic,1,US,1562035018,15,48.65,-118.74,87.8,8.05
464,dawei,100,MM,1562035019,78,14.07,98.19,83.46,14.54
465,mantua,0,IT,1562035019,68,45.16,10.79,75.99,5.82
466,harindanga,40,IN,1562035019,94,22.04,88.32,82.4,10.29
467,xai-xai,17,MZ,1562035020,77,-25.04,33.64,66.01,7.07
468,xiamen,75,CN,1562035020,62,24.46,118.07,89.6,8.95
469,nerchinskiy zavod,48,RU,1562035020,29,51.31,119.61,76.45,10.6
470,phan rang,,,,,,,,
471,amapa,40,HN,1562035021,74,15.09,-87.97,84.2,10.29
472,mount gambier,26,AU,1562034774,70,-37.83,140.78,57.19,17.81
473,plouzane,0,FR,1562035021,93,48.38,-4.62,57.99,4.7
474,jalingo,3,NG,1562035022,87,10.3,10.93,74.42,7.61
475,dondo,75,MZ,1562035022,100,-19.62,34.74,68,2.66
476,bilopillya,91,UA,1562035022,93,51.15,34.31,62.52,6.46
477,cidreira,0,BR,1562035023,81,-30.17,-50.22,48.46,4.99
478,somerville,1,US,1562035023,41,40.57,-74.61,80.6,6.93
479,timra,12,SE,1562035023,87,62.49,17.33,48.99,9.17
480,soyo,100,AO,1562035024,80,-6.13,12.37,72.73,8.12
481,urdzhar,,,,,,,,
482,geraldton,20,CA,1562034756,40,49.72,-86.95,71.6,4.7
483,najran,0,SA,1562034756,16,17.54,44.22,86,6.93
484,portland,40,US,1562034884,88,43.66,-70.25,71.6,3.36
485,parana,34,BR,1562034756,83,-7.52,-72.89,74.13,1.7
486,roald,45,NO,1562035025,70,62.58,6.12,46.4,13.87
487,pareora,100,NZ,1562035026,78,-44.49,171.21,48.99,2.93
488,samusu,,,,,,,,
489,gusau,93,NG,1562035026,80,12.17,6.66,77.34,13.18
490,havre-saint-pierre,40,CA,1562035026,82,50.23,-63.6,55.4,6.93
491,attawapiskat,,,,,,,,
492,westport,1,US,1562034993,69,41.14,-73.36,75,6.93
493,umzimvubu,,,,,,,,
494,nioro,37,GM,1562035027,74,13.79,-15.05,78.45,7.61
495,riberalta,10,BO,1562035028,67,-11,-66.08,75.84,1.45
496,aripuana,0,BR,1562034759,63,-9.17,-60.63,74.65,1.95
497,sungaipenuh,99,ID,1562035028,60,-2.08,101.38,84.84,3.09
498,rawannawi,,,,,,,,
499,hualmay,98,PE,1562035029,88,-11.1,-77.61,62.95,17.36
500,satitoa,,,,,,,,
501,prince rupert,90,CA,1562034762,93,54.32,-130.32,57.2,5.82
502,asau,,,,,,,,
503,palabuhanratu,,,,,,,,
504,skarnes,75,NO,1562035031,81,60.25,11.68,50,8.05
505,xuanhua,0,CN,1562035032,38,40.61,115.04,78.43,4.05
506,los cordobas,100,CO,1562034763,95,8.03,-75.56,73.45,0.83
507,araouane,0,ML,1562034739,34,18.9,-3.53,91.54,14.34
508,aguililla,99,MX,1562035034,87,18.74,-102.79,66.68,8.3
509,jurm,0,AF,1562035034,29,36.86,70.83,71.68,1.72
510,urusha,37,RU,1562034787,36,54.05,122.9,74.2,10.8
511,odienne,0,CI,1562034765,96,9.51,-7.57,71.49,3.22
512,sorsk,100,RU,1562035035,92,54,90.25,52.08,1.83
513,salalah,90,OM,1562035003,79,17.01,54.1,84.2,5.82
514,songea,5,TZ,1562034766,87,-10.68,35.65,60.8,2.24
515,takahashi,75,JP,1562034766,88,34.82,133.52,80.01,3.36
516,evensk,100,RU,1562034977,87,61.92,159.24,51.16,9.33
517,fortuna,20,US,1562035036,72,40.6,-124.16,62.6,11.41
518,ngukurr,,,,,,,,
519,nelson bay,0,AU,1562034941,59,-32.72,152.14,66,8.05
520,abha,0,SA,1562035037,35,18.22,42.5,73.4,4.7
521,huangchuan,14,CN,1562035037,74,24.57,102.46,79,1.66
522,ust-tsilma,97,RU,1562035037,66,65.44,52.15,57.28,3.47
523,mingaora,0,PK,1562034769,25,34.78,72.36,81.89,2.46
524,sri aman,75,MY,1562035038,83,1.24,111.46,84.2,3.36
525,togur,0,RU,1562035038,61,58.36,82.83,72.66,8.03
526,bayan,94,CN,1562035039,49,36.1,102.26,66.19,1.97
527,halacho,20,MX,1562035039,74,20.48,-90.08,86,8.05
528,salym,2,RU,1562035039,50,60.06,71.48,72.1,3.56
529,bireun,87,ID,1562035040,45,5.2,96.7,81.03,1.21
530,benguela,0,AO,1562035040,86,-12.58,13.4,69.04,0.96
531,ryotsu,32,JP,1562035040,69,38.08,138.43,77,6.93
532,jasper,1,US,1562034758,100,33.83,-87.28,82,2.06
533,tunduru,,,,,,,,
534,ye,,,,,,,,
535,tarudant,,,,,,,,
536,yebaishou,68,CN,1562035041,36,41.4,119.64,80.29,10.96
537,laguna,40,BZ,1562034773,88,16.17,-88.94,80.6,3.44
538,mananjary,0,MG,1562034773,81,-19.16,46.8,52.71,3.74
539,kidal,0,ML,1562035042,11,18.44,1.41,90.85,10.25
540,otjimbingwe,0,NA,1562035042,41,-22.35,16.13,40.51,6.06
541,jega,25,NG,1562034774,63,12.22,4.38,84.54,8.52
542,solovetskiy,,,,,,,,
543,saldanha,0,PT,1562035043,71,41.42,-6.55,63.3,4.47
544,hervey bay,40,AU,1562035043,56,-25.3,152.85,78.01,9.17
545,broken hill,0,AU,1562034777,30,-31.97,141.45,57.2,8.05
546,palu,100,ID,1562034778,69,-0.9,119.87,83.46,4.27
547,boysun,0,UZ,1562035044,26,38.2,67.2,74.96,3.47
548,ust-koksa,100,RU,1562035045,61,50.27,85.62,51.43,1.54
549,opuwo,0,NA,1562035045,46,-18.06,13.84,46.61,4.88
550,moindou,90,NC,1562034780,69,-21.69,165.68,75.2,6.93
551,gondar,0,PT,1562035046,82,41.82,-8.78,64.99,5.82
552,raymond,75,CA,1562035047,71,49.47,-112.67,55.4,16.11
553,manali,0,IN,1562035047,58,32.25,77.19,41.5,3.87
554,acapulco,75,MX,1562035047,79,16.86,-99.88,84.2,9.17
555,deer lake,90,CA,1562034783,93,49.18,-57.43,48.2,12.75
556,makakilo city,20,US,1562035048,62,21.35,-158.09,88,8.05
557,tommot,100,RU,1562034783,46,58.97,126.27,72.62,4.03
558,midland,1,US,1562035048,29,32,-102.08,89.6,9.17
559,hecun,100,CN,1562035049,84,29.94,119.31,75.48,4.56
560,nanakuli,20,US,1562035049,62,21.39,-158.15,88,8.05
561,namwala,0,ZM,1562035049,68,-15.75,26.45,47.85,1.97
562,chifeng,31,CN,1562035050,31,42.27,118.96,75.48,4.68
563,komsomolskiy,91,RU,1562035050,65,67.55,63.78,68.37,8.72
564,tautira,75,PF,1562035050,69,-17.73,-149.15,78.8,4.7
565,boffa,100,GN,1562035051,85,10.18,-14.04,78.7,7.45
566,aranos,0,NA,1562035051,58,-24.14,19.11,36.98,6.02
567,smolenka,5,PL,1562034787,94,54.15,22.76,55.57,11.83
568,tula,0,RU,1562035052,92,54.19,37.62,60.13,9.75
569,mecca,0,SA,1562034788,44,21.43,39.83,80.4,8.41
570,parkes,35,AU,1562034774,33,-33.14,148.18,63,8.19
571,touros,20,BR,1562034975,94,-5.2,-35.46,71.6,3.36
572,cabanas,24,BR,1562035053,99,-8.41,-36.34,61.15,4.92
573,preobrazheniye,100,RU,1562035053,72,42.9,133.91,62.14,4.5
574,northam,2,AU,1562034789,72,-31.65,116.67,60.8,8.05
575,cockburn town,52,TC,1562035053,81,21.46,-71.14,81.1,12.73
576,krasnyy chikoy,0,RU,1562034790,35,50.36,108.75,79.12,2.8
577,kismayo,,,,,,,,
578,matamoros,1,US,1562035054,74,25.87,-97.51,84.2,13.87
579,bailen,0,ES,1562035055,71,38.1,-3.78,62.31,5.82
580,altamira,77,BR,1562035055,85,-3.2,-52.21,73.97,0.27
581,kushmurun,,,,,,,,
582,victor harbor,75,AU,1562034791,62,-35.55,138.62,60.01,8.05
583,kangaatsiaq,100,GL,1562035056,90,68.31,-53.46,39.39,8.05
584,denpasar,40,ID,1562035056,83,-8.65,115.22,82.4,11.41
585,wawa,63,NG,1562034792,93,9.9,4.41,74.35,8.93
586,quijingue,0,BR,1562035056,93,-10.75,-39.21,64.48,4.54
587,vredendal,36,ZA,1562035057,87,-31.68,18.49,55.12,18.61
588,the hammocks,40,US,1562035057,74,25.67,-80.44,86,8.05
589,ridgetown,1,CA,1562035057,73,42.44,-81.88,75.99,6.35
590,camacha,75,PT,1562034794,77,33.08,-16.33,69.8,14.99
591,alekseyevsk,0,RU,1562034794,26,57.84,108.35,90.85,4.07
592,richards bay,0,ZA,1562035058,48,-28.77,32.06,71.25,20.27
593,hanzhong,100,CN,1562034795,50,33.08,107.03,81.62,1.61
594,iskateley,0,RU,1562035059,68,67.68,53.15,52.93,9.06
595,sioux lookout,20,CA,1562035059,59,50.1,-91.92,75.2,2.15
596,sauda,82,NO,1562035059,83,59.65,6.35,48,1.99
597,jieshi,100,CN,1562035059,73,22.82,115.83,89.01,6.26
598,thinadhoo,83,MV,1562035060,65,0.53,72.93,83.26,3
599,satoraljaujhely,0,HU,1562035060,77,48.4,21.67,71.6,5.82
600,port-gentil,37,GA,1562035061,87,-0.72,8.78,74.53,15.77
601,kozhva,100,RU,1562035062,96,65.11,57.05,57.97,2.84
602,antofagasta,90,CL,1562034949,87,-23.65,-70.4,55.4,12.75
603,haines junction,95,CA,1562034764,32,60.75,-137.51,76,1.68
604,ogaminana,98,NG,1562035064,98,7.6,6.2,70.06,4.74
605,belur,100,IN,1562035064,89,13.16,75.86,73.36,4.41
606,okato,92,NZ,1562035065,60,-39.19,173.88,61,7
607,placer,90,US,1562034801,71,42.63,-123.32,75.2,5.82
608,takanabe,75,JP,1562035065,94,32.13,131.49,69.8,9.17
609,saint-leu,0,RE,1562035065,68,-21.15,55.28,68,6.93
610,mouila,3,GA,1562035066,88,-1.86,11.06,67.17,0.96
611,charters towers,0,AU,1562035066,40,-20.07,146.27,73,5.61
612,taybad,0,IR,1562035066,45,34.74,60.78,71.92,32.79
613,myitkyina,98,MM,1562035067,97,25.38,97.4,76.17,1.16
614,boo,63,NG,1562034804,95,7.44,8.9,73.74,5.7
615,karratha,0,AU,1562034945,17,-20.74,116.85,80.47,14.36
